question;answer
Who was the first President of the United States?;George Washington
In what year did World War I begin?;1914
What was the name of the ship that carried the Pilgrims to America in 1620?;Mayflower
Who wrote the Declaration of Independence?;Thomas Jefferson
What year did the Berlin Wall fall?;1989
Who was the British Prime Minister during most of World War II?;Winston Churchill
What was the name of the first manned mission to land on the Moon?;Apollo 11
Who was the last Tsar of Russia?;Nicholas II
What empire was ruled by Julius Caesar?;Roman Empire
In what year did the American Civil War begin?;1861
What was the name of the document that ended World War I?;Treaty of Versailles
Who was the leader of Germany during World War II?;Adolf Hitler
What city was the first to be attacked with an atomic bomb?;Hiroshima
What was the name of the medieval war between England and France that lasted 116 years?;Hundred Years' War
Who discovered penicillin?;Alexander Fleming
What was the name of the movement that sought to end racial segregation in the United States?;Civil Rights Movement
Who was the first female Prime Minister of the United Kingdom?;Margaret Thatcher
What was the name of the ship that sank after hitting an iceberg in 1912?;Titanic
Who was known as the "Sun King" of France?;Louis XIV
In what year did the United Nations officially form?;1945
